global index,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
21628,745090,23244,MOFFETT FEDERAL AIRFIELD,US,CA,KNUQ,37.406,-122.048,11.9,19730101,20201115
21633,745160,23202,TRAVIS AIR FORCE BASE,US,CA,KSUU,38.267,-121.933,18.9,19430811,20201227
21638,745310,93065,USAF ACADEMY AIRSTRIP AIRPORT,US,CO,KAFF,38.967,-104.817,2003.2,19671127,20201227
21644,745700,13840,WRIGHT-PATTERSON AFB AIRPORT,US,OH,KFFO,39.833,-84.05,250.9,19360501,20201227
21647,745940,13705,ANDREWS AIR FORCE BASE AIRPORT,US,MD,KADW,38.817,-76.867,86.0,19430619,20201227
21649,745944,93784,BALTIMORE DOWNTOWN,US,MD,KDMH,39.281,-76.611,6.1,19990102,20200701
21658,745980,13702,LANGLEY AFB AIRPORT,US,VA,KLFI,37.083,-76.36,3.1,19361001,20201227
21666,746120,93104,CHINA LAKE,US,CA,KNID,35.688,-117.693,679.7,19730101,20201227
21680,746710,13806,CAMPBELL AAF AIRPORT,US,KY,KHOP,36.667,-87.483,174.7,19430715,20201227
21683,746716,93808,BOW GRN-WARREN CO. RGNL AP,US,KY,KBWG,36.965,-86.424,160.9,19730101,20201227
21689,746930,93737,SIMMONS AAF AIRPORT,US,NC,KFBG,35.133,-78.933,74.4,19610701,20201227
21707,747020,23110,NAVAL AIR STATION,US,CA,KNLC,36.333,-119.95,70.7,19610701,20201227
21717,747187,3104,DESERT RESORTS RGNL ARPT,US,CA,KTRM,33.627,-116.159,-36.0,19430712,20201226
21718,747188,23158,BLYTHE AIRPORT,US,CA,KBLH,33.619,-114.714,120.4,19420613,20201226
21735,747400,13973,KIMBLE COUNTY AIRPORT,US,TX,KJCT,30.511,-99.766,533.1,19770827,20201227
21749,747686,13820,KEESLER AIR FORCE BASE,US,MS,KBIX,30.417,-88.917,10.1,19420509,20201227
21753,747750,13846,TYNDALL AFB AIRPORT,US,FL,KPAM,30.067,-85.583,5.2,19420319,20201227
21756,747760,3818,MARIANNA MUNICIPAL AIRPORT,US,FL,KMAI,30.836,-85.184,34.4,19970602,20201227
21759,747770,3852,HURLBURT FIELD AIRPORT,US,FL,KHRT,30.417,-86.683,11.6,19550705,20201227
21781,747880,12810,MAC DILL AFB AIRPORT,US,FL,KMCF,27.85,-82.517,4.3,19410501,20201227
21783,747900,13849,SHAW AIR FORCE BASE,US,SC,KSSC,33.967,-80.467,73.5,19411222,20201227
21785,747910,13717,MYRTLE BEACH INTL AIRPORT,US,SC,KMYR,33.683,-78.933,7.6,19421101,20201227
